item_id,store_id,state_id,day_num,sales,weekday,event_name_1,sell_price,snap_CA,snap_TX,snap_WI
HOBBIES_1_019,WI_2,WI,1616,2,Thursday,,0.48,1,0,1
HOBBIES_1_019,WI_2,WI,1617,5,Friday,,0.48,1,1,1
HOBBIES_1_019,WI_2,WI,1618,0,Saturday,IndependenceDay,0.48,1,0,0
HOBBIES_1_019,WI_2,WI,1619,5,Sunday,,0.48,1,1,1
HOBBIES_1_019,WI_2,WI,1620,0,Monday,,0.48,1,1,1
HOBBIES_1_019,WI_2,WI,1621,2,Tuesday,,0.48,1,1,0
HOBBIES_1_019,WI_2,WI,1622,0,Wednesday,,0.48,1,0,1
HOBBIES_1_019,WI_2,WI,1623,3,Thursday,,0.48,1,1,1
HOBBIES_1_019,WI_2,WI,1624,3,Friday,,0.48,1,0,0
HOBBIES_1_019,WI_2,WI,1625,4,Saturday,,0.48,0,1,1
HOBBIES_1_019,WI_2,WI,1626,0,Sunday,,0.48,0,1,1
HOBBIES_1_019,WI_2,WI,1627,4,Monday,,0.48,0,1,0
HOBBIES_1_019,WI_2,WI,1628,3,Tuesday,,0.48,0,0,1
HOBBIES_1_019,WI_2,WI,1629,1,Wednesday,,0.48,0,1,1
HOBBIES_1_023,TX_2,TX,1585,3,Monday,,3.44,1,1,0
HOBBIES_1_023,TX_2,TX,1586,0,Tuesday,,3.44,1,0,1
HOBBIES_1_023,TX_2,TX,1587,6,Wednesday,,3.44,1,1,1
HOBBIES_1_023,TX_2,TX,1588,6,Thursday,NBAFinalsStart,3.44,1,0,0
HOBBIES_1_023,TX_2,TX,1589,6,Friday,,3.44,1,1,1
HOBBIES_1_023,TX_2,TX,1590,5,Saturday,,3.44,1,1,1
HOBBIES_1_023,TX_2,TX,1591,8,Sunday,,3.44,1,1,0
HOBBIES_1_023,TX_2,TX,1592,8,Monday,,3.44,1,0,1
HOBBIES_1_023,TX_2,TX,1593,4,Tuesday,,3.44,1,1,1
HOBBIES_1_023,TX_2,TX,1594,1,Wednesday,,3.44,1,0,0
HOBBIES_1_023,TX_2,TX,1595,3,Thursday,,3.44,0,1,1
HOBBIES_1_023,TX_2,TX,1596,11,Friday,,3.44,0,1,1
HOBBIES_1_023,TX_2,TX,1597,3,Saturday,,3.44,0,1,0
HOBBIES_1_023,TX_2,TX,1598,3,Sunday,,3.44,0,0,1
HOBBIES_1_083,WI_2,WI,1823,0,Monday,,15.92,0,0,0
HOBBIES_1_083,WI_2,WI,1824,3,Tuesday,,15.92,0,0,0
HOBBIES_1_083,WI_2,WI,1825,0,Wednesday,,15.92,0,0,0
HOBBIES_1_083,WI_2,WI,1826,0,Thursday,,15.92,0,0,0
HOBBIES_1_083,WI_2,WI,1827,0,Friday,,15.92,0,0,0
HOBBIES_1_083,WI_2,WI,1828,0,Saturday,,15.92,0,0,0
HOBBIES_1_083,WI_2,WI,1829,0,Sunday,,15.92,0,0,0
HOBBIES_1_083,WI_2,WI,1830,0,Monday,,15.92,1,1,0
HOBBIES_1_083,WI_2,WI,1831,0,Tuesday,,15.92,1,0,1
HOBBIES_1_083,WI_2,WI,1832,0,Wednesday,,15.92,1,1,1
HOBBIES_1_083,WI_2,WI,1833,0,Thursday,,15.92,1,0,0
HOBBIES_1_083,WI_2,WI,1834,0,Friday,,15.92,1,1,1
HOBBIES_1_083,WI_2,WI,1835,0,Saturday,,15.92,1,1,1
HOBBIES_1_083,WI_2,WI,1836,0,Sunday,SuperBowl,15.92,1,1,0
HOBBIES_1_099,CA_3,CA,1571,2,Monday,,13.98,0,0,0
HOBBIES_1_099,CA_3,CA,1572,3,Tuesday,,13.98,0,0,0
HOBBIES_1_099,CA_3,CA,1573,2,Wednesday,,13.98,0,0,0
HOBBIES_1_099,CA_3,CA,1574,3,Thursday,,13.98,0,0,0
HOBBIES_1_099,CA_3,CA,1575,1,Friday,,13.98,0,0,0
HOBBIES_1_099,CA_3,CA,1576,5,Saturday,,13.98,0,0,0
HOBBIES_1_099,CA_3,CA,1577,2,Sunday,,13.98,0,0,0
HOBBIES_1_099,CA_3,CA,1578,7,Monday,MemorialDay,13.98,0,0,0
HOBBIES_1_099,CA_3,CA,1579,0,Tuesday,,13.98,0,0,0
HOBBIES_1_099,CA_3,CA,1580,2,Wednesday,,13.98,0,0,0
HOBBIES_1_099,CA_3,CA,1581,3,Thursday,,13.98,0,0,0
HOBBIES_1_099,CA_3,CA,1582,1,Friday,,13.98,0,0,0
HOBBIES_1_099,CA_3,CA,1583,1,Saturday,,13.98,0,0,0
HOBBIES_1_099,CA_3,CA,1584,1,Sunday,,13.98,0,0,0
